EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,10,9,56,23,-65.0,,,,,,,,
19,11,1,7,28,-92.5,,,,,,,,
19,11,1,14,28,-90.0,,,,,,,,
19,11,1,28,28,-87.0,,,,,,,,
19,11,1,56,28,-84.5,,,,,,,,
19,11,2,7,28,-88.5,,,,,,,,
19,11,2,14,28,-88.0,,,,,,,,
19,11,2,28,28,-85.5,,,,,,,,
19,11,2,56,28,-83.0,,,,,,,,
19,11,3,7,28,-86.0,,,,,,,,
19,11,3,14,28,-84.0,,,,,,,,
19,11,3,28,28,-80.0,,,,,,,,
19,11,3,56,28,-77.5,,,,,,,,
19,11,4,7,25,-83.0,,,,,,,,
19,11,4,14,25,-81.5,,,,,,,,
19,11,4,28,25,-78.5,,,,,,,,
19,11,4,56,25,-76.5,,,,,,,,
19,11,6,7,25,-80.5,,,,,,,,
19,11,6,14,25,-78.0,,,,,,,,
19,11,6,28,25,-75.0,,,,,,,,
19,11,6,56,25,-73.0,,,,,,,,
19,11,7,7,24,-78.0,,,,,,,,
19,11,7,14,24,-76.0,,,,,,,,
19,11,7,28,24,-73.0,,,,,,,,
19,11,7,40,24,-72.0,,,,,,,,
19,11,7,56,24,-71.5,,,,,,,,
19,11,8,7,24,-76.5,,,,,,,,
19,11,8,14,24,-73.5,,,,,,,,
19,11,8,28,24,-71.0,,,,,,,,
19,11,8,40,24,-69.5,,,,,,,,
19,11,8,56,24,-68.5,,,,,,,,
19,11,9,7,23,-73.5,,,,,,,,
19,11,9,14,23,-70.5,,,,,,,,
19,11,9,28,23,-68.0,,,,,,,,
19,11,9,40,23,-66.5,,,,,,,,
19,11,9,56,23,-65.0,,,,,,,,
19,13,1,7,28,-92.5,,,,,,,,
19,13,1,14,28,-90.0,,,,,,,,
19,13,1,28,28,-87.0,,,,,,,,
19,13,1,56,28,-84.5,,,,,,,,
19,13,2,7,28,-88.5,,,,,,,,
19,13,2,14,28,-88.0,,,,,,,,
19,13,2,28,28,-85.5,,,,,,,,
19,13,2,56,28,-83.0,,,,,,,,
19,13,3,7,28,-86.0,,,,,,,,
19,13,3,14,28,-84.0,,,,,,,,
19,13,3,28,28,-80.0,,,,,,,,
19,13,3,56,28,-77.5,,,,,,,,
19,13,4,7,25,-83.0,,,,,,,,
19,13,4,14,25,-81.5,,,,,,,,
19,13,4,28,25,-78.5,,,,,,,,
19,13,4,56,25,-76.5,,,,,,,,
19,13,6,7,25,-80.5,,,,,,,,
19,13,6,14,25,-78.0,,,,,,,,
19,13,6,28,25,-75.0,,,,,,,,
19,13,6,56,25,-73.0,,,,,,,,
19,13,7,7,24,-78.0,,,,,,,,
19,13,7,14,24,-76.0,,,,,,,,
19,13,7,28,24,-73.0,,,,,,,,
19,13,7,56,24,-71.5,,,,,,,,
19,13,8,7,24,-76.5,,,,,,,,
19,13,8,14,24,-73.5,,,,,,,,
19,13,8,28,24,-71.0,,,,,,,,
